AttributeNum,DiscreteRatio,JointInf,Size,Totcorr,Mean1,Mean2,Mean3,Mean4,Std1,Std2,Std3,Std4,Median1,Median2,Median3,Median4,Min1,Min2,Min3,Min4,Max1,Max2,Max3,Max4,Skew1,Skew2,Skew3,Skew4,Entropy1,Entropy2,Entropy3,Entropy4,PCAJointInf,n_components,covariance_type0,covariance_type1,covariance_type2,covariance_type3
23.0,0.2608695652173913,9.909893083770166,962.0,19.577467683543468,3.3980112507991134,2.8608710741607823,2.3695942980392304,1.8631577313652072,3.3980112507991134,2.8608710741607823,2.3695942980392304,1.8631577313652072,-0.18870512331782105,-0.6458056575160711,-0.22344046033605816,0.1558827021026545,-6.680559378709786,-5.424829268654199,-5.7165674590980755,-5.286571926136915,6.949679029823507,9.081345260445293,6.096202578659381,5.797061435181626,0.14121362771795484,0.6521970632774136,0.18561900074482915,-0.3125543529190938,9.909893083770166,9.909893083770166,9.909893083770166,9.909893083770166,9.909893083770166,6.0,1.0,0.0,0.0,0.0
11.0,0.0,9.665335917185162,812.0,56.21361335568291,704544.6817245265,898.2838268813151,490.7089154276207,459.63137167598717,704544.6817245265,898.2838268813151,490.7089154276207,459.63137167598717,-55989.39376106466,-164.43328897445645,-59.382845450298404,33.5864523097074,-1150127.6648276185,-1992.6014336873504,-3299.383127021588,-1387.053679672818,1219887.1025619563,3012.257231406555,4462.02166595789,1672.5355172953107,0.09998476297070263,0.9655368954356026,2.633591292748161,-0.06276738197908503,9.665335917185162,9.665335917185162,9.665335917185162,9.665335917185162,9.665335917185162,2.0,1.0,0.0,0.0,0.0
11.0,0.0,9.63117705570403,793.0,57.416208816681866,235809.92132975953,949.8033126746263,457.81176739509044,434.0183811750417,235809.92132975953,949.8033126746263,457.81176739509044,434.0183811750417,-11629.524060955366,-423.0299014655026,89.72903693698575,-48.837907500427484,-398035.2474336372,-1918.6177827549518,-1587.810826261089,-2349.0356172776847,414590.15558389155,2294.724877507949,2487.7106656242095,4715.692305895481,0.08730671887165506,1.2615415098443168,0.05372851232939293,2.5321236507379794,9.63117705570403,9.63117705570403,9.63117705570403,9.63117705570403,9.63117705570403,3.0,0.0,0.0,0.0,1.0
11.0,0.0,9.044394119358358,528.0,51.08701553593284,318017.4234826301,862.6922614099469,570.3020485332553,474.3823101715648,318017.4234826301,862.6922614099469,570.3020485332553,474.3823101715648,-4903.602061870246,0.9685267132508275,-20.895427838167947,4.0147671233108815,-550459.5743930415,-2418.5974782568946,-3427.722164568158,-2494.5914460025556,577129.6346367736,2625.524252729939,5391.562005061203,3484.821889755956,0.08555909527257377,0.6089505126958442,2.3781449322158794,-0.012353173183438714,9.044394119358358,9.044394119358358,9.044394119358358,9.044394119358358,9.044394119358358,2.0,0.0,0.0,0.0,1.0
11.0,0.0,9.554588851677702,752.0,56.75503524183155,401104.44616326224,662.1264201650132,555.2983742990463,518.5821117280108,401104.44616326224,662.1264201650132,555.2983742990463,518.5821117280108,-13663.258034249528,-29.81522036629967,94.18395818692107,-74.48353360417408,-674342.2122594768,-2583.3829686648883,-1589.9444176242,-4125.724520688062,720001.5506384907,3122.773209481312,3487.3392432644664,4150.883453613125,0.07695328145972435,1.08532933191776,0.16985260506640598,0.7097875997958664,9.554588851677702,9.554588851677702,9.554588851677702,9.554588851677702,9.554588851677702,6.0,0.0,0.0,0.0,1.0
11.0,0.0,9.736401931318353,853.0,52.404851442190335,660670.947840503,848.9907053917972,548.9210609836741,388.7050094677064,660670.947840503,848.9907053917972,548.9210609836741,388.7050094677064,-11887.424992743565,-168.41836452177324,-132.3467885767737,-36.28513201097375,-1090513.6547861155,-1585.948688477036,-1441.024678032211,-2557.011684026445,1160625.5884761096,3050.881167419766,2666.4624047071748,3572.257586219089,0.07915682251926588,0.7402475156170998,0.6575854888976332,0.7686414023634052,9.736401931318353,9.736401931318353,9.736401931318353,9.736401931318353,9.736401931318353,3.0,0.0,0.0,0.0,1.0
11.0,0.0,9.10066233900525,549.0,48.02682852459898,176866.96754726514,896.5477467811126,576.314777737978,450.87274362345096,176866.96754726514,896.5477467811126,576.314777737978,450.87274362345096,-14119.287016450646,402.66700849560436,-293.13884227758155,14.647514065513738,-296636.18538912555,-2413.162827598632,-661.6151885395482,-2179.7522480185007,308442.404866225,2446.1118090568507,6036.3563001541215,4370.2673061486485,0.07190248002636718,-1.4081717896857606,4.126781285001321,2.756872757732939,9.10066233900525,9.10066233900525,9.10066233900525,9.10066233900525,9.10066233900525,3.0,0.0,1.0,0.0,0.0
11.0,0.09090909090909091,9.674192268145559,817.0,43.56728014592316,316628.04474451963,864.8012478281171,317.35415810277857,289.29964614447215,316628.04474451963,864.8012478281171,317.35415810277857,289.29964614447215,-10372.73594108165,-56.78629317853928,45.69273523452621,-16.904717177077657,-539047.7179930457,-1678.5201200251988,-871.8408114001179,-1444.8058634522001,556950.4222841946,1990.0854033956252,1012.2697866092708,1899.6428987859938,0.06564348590980414,0.23957579480646557,-0.5283424200857594,2.1192746805558182,9.674192268145559,9.674192268145559,9.674192268145559,9.674192268145559,9.674192268145559,2.0,0.0,1.0,0.0,0.0
11.0,0.09090909090909091,9.94690627445642,987.0,52.517313217859666,895452.5634450663,813.0429174427051,503.2692711378945,292.4584737898073,895452.5634450663,813.0429174427051,503.2692711378945,292.4584737898073,2770.9948844228825,-247.1305953113413,160.8752535078514,2.7601879144480823,-1502055.25295049,-1607.9187507917272,-918.3075279396172,-1442.8086418761227,1552958.6961308355,2887.6149436430383,1721.0974133617667,2752.3158361478136,0.06935775685284239,1.0406099277477607,-0.563536216657614,1.9072769258403404,9.94690627445642,9.94690627445642,9.94690627445642,9.94690627445642,9.94690627445642,2.0,0.0,0.0,1.0,0.0
11.0,0.0,9.465566404809234,707.0,54.83926346243836,494716.70113374747,1750.249433279833,1280.1044840536488,647.1627633869035,494716.70113374747,1750.249433279833,1280.1044840536488,647.1627633869035,17255.370858541584,-50.48970378177803,29.616217624814816,-80.41655922688363,-851682.5086543442,-4065.606493694261,-12799.225317668113,-1817.8740431048861,864333.0233070895,42116.07052673056,30212.773211013686,2701.031078093067,-0.03474746342769649,21.013703519879467,17.23504402794024,1.1793967413192914,9.465566404809234,9.465566404809234,9.465566404809234,9.465566404809234,9.465566404809234,4.0,0.0,0.0,0.0,1.0
