AttributeNum,DiscreteRatio,JointInf,Size,Totcorr,Mean1,Mean2,Mean3,Mean4,Std1,Std2,Std3,Std4,Median1,Median2,Median3,Median4,Min1,Min2,Min3,Min4,Max1,Max2,Max3,Max4,Skew1,Skew2,Skew3,Skew4,Entropy1,Entropy2,Entropy3,Entropy4,PCAJointInf,LabelEntropy,alpha,l1_ratio
33.0,0.48484848484848486,9.055282435501294,532.0,88.28936266221403,10141.690725761548,1260.0745555057163,78.06520119191848,55.57644052889798,10141.690725761548,1260.0745555057163,78.06520119191848,55.57644052889798,-393.03992799584285,-408.6309650667089,-14.596586326902624,-10.483012297385889,-17160.553705909177,-1321.201597023073,-258.65463475456386,-83.15506143822962,17835.79769692454,7643.379606589387,629.7263945134812,232.37414309863152,0.0587375318386313,2.1660622192638246,1.6421392884656516,1.3979844193974014,9.055282435501294,9.055282435501294,9.055282435501294,9.055282435501294,9.055282435501294,7.238679757179701,2.0,0.5
33.0,0.48484848484848486,9.714245517666102,840.0,88.83302257111437,10042.512505190536,1182.624706806289,71.69007442949099,52.39719983116126,10042.512505190536,1182.624706806289,71.69007442949099,52.39719983116126,-173.73841091481097,-350.02322774193476,-14.814216773470326,-7.678338684097638,-17153.9463625318,-1170.0751987412195,-311.39243043538744,-124.3609595720387,17905.186110184048,8789.617531685586,481.49057941528116,227.51343960928347,0.04839725482067284,2.724633532248436,1.1571445806710694,1.2462963327477632,9.714245517666102,9.714245517666102,9.714245517666102,9.714245517666102,9.714245517666102,7.288360583611684,2.0,0.015625
54.0,0.25925925925925924,9.063395081288515,535.0,216.35800142378687,2842605.4907371365,82221.10649992999,23423.096839813785,799.8712406416838,2842605.4907371365,82221.10649992999,23423.096839813785,799.8712406416838,-988002.9452577748,-16147.393067972307,-4205.55720275532,286.9135154852072,-1302910.8847353933,-689194.8241451831,-40988.46341020957,-3118.7373817879916,32016409.923800133,726420.0166987666,176520.82263057033,5378.449308147889,5.467610615875298,2.172976258264105,5.7522186373215085,0.05228085788540521,9.063395081288515,9.063395081288515,9.063395081288515,9.063395081288515,9.063395081288515,2.898151827630811,0.25,0.5
54.0,0.25925925925925924,9.082149041353933,542.0,215.23844071629284,2932810.247211623,66063.803589604,12885.419517059878,687.108892167934,2932810.247211623,66063.803589604,12885.419517059878,687.108892167934,-1006872.4818332817,-20767.129098231642,-1636.5744908249249,219.74177682549634,-1299890.6501517803,-379573.71711367316,-29151.35425035396,-2605.0460710104467,32024435.93944091,540274.8627339804,110510.50243636644,2748.03440798514,5.528575306396246,3.0098231528582757,5.109980609934974,-0.8545136549296982,9.082149041353933,9.082149041353933,9.082149041353933,9.082149041353933,9.082149041353933,2.7770581246216453,64.0,0.5
54.0,0.25925925925925924,9.805743872151794,895.0,221.36920692421128,2416176.5915719336,70900.5839829562,22927.950501795047,886.7126016885784,2416176.5915719336,70900.5839829562,22927.950501795047,886.7126016885784,-805378.2321158341,14598.350945360486,-3487.8973109513927,262.3630989555308,-1120681.2925170406,-647384.7596480934,-75880.13633976139,-4147.303242955354,32196112.288438994,807607.8305256829,175185.59230812753,7946.526245214591,6.730064854395821,-1.497390008105677,5.061202907640251,0.44165596550885244,9.805743872151794,9.805743872151794,9.805743872151794,9.805743872151794,9.805743872151794,3.0193786582366178,64.0,0.5
5.0,0.0,9.54496443278934,747.0,36.28122239136861,23.58385289015329,12.835038461403625,5.49774527222842,4.544100435952957,23.58385289015329,12.835038461403625,5.49774527222842,4.544100435952957,2.3625200623312046,-0.09041122225769116,-0.43365610428193024,0.15830359016295106,-49.21063193301454,-30.936817509060567,-13.575938244357518,-16.001589364589496,49.75482033820826,36.75522001666121,17.224050739430474,19.152180861173075,-0.06755886827476765,0.15805882429956905,0.5206190239606028,-0.13707745424944173,9.54496443278934,9.54496443278934,9.54496443278934,9.54496443278934,9.54496443278934,9.420440269457808,0.125,0.5
438.0,0.9703196347031964,9.317412613764866,638.0,68.5737804747376,4939.899558347315,229.80659671713627,47.65731385126327,6.101403102030885,4939.899558347315,229.80659671713627,47.65731385126327,6.101403102030885,-47.19582186123489,-43.85705328215851,-7.0799086893135605,-0.946813419431382,-8596.878718039532,-365.57068195118796,-131.85177357096387,-11.11370834273601,8735.130397615509,923.4187107570009,296.49322070449705,14.944481074133323,0.00920276075814795,1.112138112365683,1.7706176992483393,0.5607431850033745,9.317412613764866,9.317412613764866,9.317412613764866,9.317412613764866,9.317412613764866,8.098347903411222,0.0009765625,0.0625
33.0,0.48484848484848486,9.011227255423215,516.0,87.9943958299811,9945.962539147582,1263.6997650977517,82.70367990092404,58.39387541248973,9945.962539147582,1263.6997650977517,82.70367990092404,58.39387541248973,827.957019996577,-433.0634185168188,-16.527165688530577,-9.442841570476187,-17120.770471851807,-1318.4170876600542,-263.8101539294761,-120.49784105544862,17322.6823200531,8194.100611081036,375.26604998963785,244.86610870459148,-0.06215064568284962,2.5665274556971807,0.7704972065455157,0.9665990595279361,9.011227255423215,9.011227255423215,9.011227255423215,9.011227255423215,9.011227255423215,7.271950175836929,4.0,0.5
33.0,0.48484848484848486,9.663558104217229,811.0,88.88734302323334,10017.247364451086,1106.3567240348186,70.23737509509841,54.645403332063104,10017.247364451086,1106.3567240348186,70.23737509509841,54.645403332063104,-361.2860000857052,-330.9658232759082,-14.527885402652354,-7.5083792457895715,-16831.476439321228,-1245.4468292918102,-257.4260329058709,-139.07826242710502,18139.40939245456,7110.221755966879,454.2505437928706,204.99541368849387,0.10954729543507634,2.173186065659971,1.0312017506195514,0.8832674100076667,9.663558104217229,9.663558104217229,9.663558104217229,9.663558104217229,9.663558104217229,7.419440546980043,0.25,0.5
33.0,0.48484848484848486,9.90237511448614,957.0,90.21032702014675,10268.600069701411,1243.3776506678862,79.69940396219822,52.635505964374715,10268.600069701411,1243.3776506678862,79.69940396219822,52.635505964374715,-732.9037105896565,-411.6944253347506,-13.224955644799154,-9.4011779237475,-16842.56183460051,-1343.8360487041266,-253.60322487529115,-113.30009296458272,18199.66614835013,7828.283228540204,661.8440511582962,221.64068643415246,0.11865064321220853,2.3489332483252077,1.3382312360791306,1.1566338774847176,9.90237511448614,9.90237511448614,9.90237511448614,9.90237511448614,9.90237511448614,7.432342819942845,1.0,0.25
